kalman filter measurement error results

measurement error, smart-distance error, dumb-device distance error
10, 19.725278856663166, 8.865339991780768
5, 19.576053352463095, 8.709649508720938
1, 18.51419620649313, 7.863447567815226
0.5, 17.448191434597295, 7.386517479310721
0.2, 15.303641603177939, 7.146114763765265
0.1, 13.397376524093497, 7.352183359395975
0.01, 9.50860321591495, 8.121576836940152
0.001, 8.846686051451943, 8.259345812953613
0.0001, 8.775817020131067, 8.27399154007306
0.00001, 8.76868000643917, 8.275465147717581
0.0000001, 8.767894376160031, 8.275627345337348
0.000000001, 8.767886518580616, 8.275628965485154
0.00000000001, 8.767886340413082, 8.27562903205966
0, 17.100908911932095, 7.653042660836441
